sep,bright,red-1,red-4
1.941406,0.000023,0.00023,0.001977
2.9375,0.00001,0.000107,0.001003
3.992188,0.000007,0.000074,0.00066
5.023438,0.000006,0.000063,0.000539
5.9375,0.000006,0.000054,0.00044
7.015625,0.000005,0.000049,0.000404
8,0.000005,0.000044,0.000349
9.007812,0.000005,0.000043,0.000311
10.015625,0.000005,0.000042,0.000294
11.023438,0.000008,0.00006,0.000273
12.007812,0.000015,0.000127,0.000254
12.992188,0.00002,0.000162,0.000227
14,0.000021,0.000149,0.000193
15.007812,0.00002,0.000133,0.000165
16.039062,0.000023,0.000112,0.000131
17,0.000039,0.000085,0.000102
18.007812,0.000048,0.000069,0.000087
18.96875,0.000046,0.000054,0.00007
20.023438,0.000041,0.000049,0.000061
21.042969,0.000035,0.000041,0.000052
40,2.5e-6,2.9e-6,3.7e-6
100,2.5e-9,2.9e-9,3.7e-9